Name,Firm,Score,Tier,Type,Fund Size,Investments,Exits,Sectors,Geography
"Patrick McHenry (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Juriaan Duizendstraal (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"CEOLila Tretikov (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"EzrattySenior AssociateMaanasi Garg (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Sasha Ostojic (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"TeamView InsightsCarmen Chang (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Operations Advisory Partners (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Healthcare Rick Yang (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"AdministratorOperationsRahul Meka (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Sep Kamvar (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Perry Wallack (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Sonal Chokshi (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Sahir Azam (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Ana Andreescu (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Guocong Song (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Brett Berson (First Round)","First Round Capital",6.4,strong,VC Firm,1000000000,0,0,"AI/ML; Consumer; Enterprise; SaaS","US"
"Greg Papadopoulos (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Bucky Moore","Kleiner Perkins",6.4,strong,VC,4000000000,0,0,"AI/ML","US"
"Martin Mignot (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Sandra Schwarzer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Partner Andrew Schoen (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Hunter Worland (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Richard Becker (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Carlos Gonzalez-Cadenas (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Life SciencesPlatformVictoria Chernow (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"MDPrincipalMason MurraySenior (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Edward Mathers (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Jane Smith","Sequoia Capital",6.4,strong,VC Firm,85000000000,0,0,"ai; fintech; saas","US; Global"
"UK Madison Faulkner (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"PvX Partners","PvX Partners",6.4,strong,VC,150000000,25,0,"Consumer Tech; Subscription Platforms; Ecommerce","US; Europe"
"Kelsey Miller (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Kiersten Stead Managing (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Adrianna Ma (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Milo Werner General (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Lulu Xu (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Elizabeth Harkavy Investment (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Chris Lyons (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"MDPrincipalHui ChengPrincipalKevin Deng (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Gonzalo Mocorrea (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Michael Li (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Brooke Seawell (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Zheela Qaiser (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Georgia Stevenson (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"AI StrategyBlake Wu (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Jan Hammer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Marissa Ramirez de Chanlatte (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Caie Kelley (Lowercarboncapital)","Lowercarbon Capital",6.4,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Joseph Stolerman (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Patrick Kerins (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Nina Achadjian (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Ali Fisher Sweet (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Vandon Duong (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Craig Naylor (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Zack Urlocker (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Khalehla Nuzum (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Linda Maxwell Operating (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Prayank Swaroop (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Amber Love Westphal (Lowercarbon Capital)","Lowercarbon Capital",6.4,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Brendan Boyle (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Dr. Prineha Narang (DCVC)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Myrel Iturey (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Jacob Jofe (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Christian Crowley (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Brett GibsonManaging (Initialized)","Initialized Capital",6.4,strong,VC Firm,700000000,0,0,"Consumer; Developer Tools; SaaS","US"
"Rebecca James (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Alex Sharata (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Arianna Simpson General (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Weronika Sowa (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Ali Yahya (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Kim Watson (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"James Buxton (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Ayush GoradiaSenior (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Jon Carter (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Assistant Brett GibsonManaging (Initialized)","Initialized Capital",6.4,strong,VC Firm,700000000,0,0,"Consumer; Developer Tools; SaaS","US"
"COO Alan Cohen (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"SongData ScientistTechnicalNicole Sonnert (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Pierce Daly (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Rahul Meka (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"MDPrincipalHui Cheng (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Matt McAviney (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Partner Danielle Lay (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Indexventures","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Bio Spencer Punter (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Vlad Loktev (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Lila Tretikov (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Wing Cheng Finance (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Garry Tan (Initialized)","Initialized Capital",6.4,strong,VC Firm,700000000,0,0,"Consumer; Developer Tools; SaaS","US"
"Analyst Lyna Kim (Lowercarboncapital)","Lowercarbon Capital",6.4,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Investing Ali Yahya (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Bruce Leak (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Caroline Newman (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Union Square Ventures (USV)","Union Square Ventures",6.4,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Gabby Cambanis (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"whom are former (A16z)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"MDPartner Mustafa Neemuchwala (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Hannah Seal (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Guy Wuollet (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Danielle Ezratty (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Insightpartners","Insight Partners",6.4,strong,VC Firm,90000000000,0,0,"Enterprise; SaaS","US; Global"
"Dan Gregory (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Carleigh Morba (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Maanasi Garg (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Katie Scherer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Olivia Heathcote (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"from our Team (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"NEA UKMadison Faulkner (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"series of thirteen (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Michelle Fernandes (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Gael Huynh (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Simon Cunningham (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Roy Rosin (First Round)","First Round Capital",6.4,strong,VC Firm,1000000000,0,0,"AI/ML; Consumer; Enterprise; SaaS","US"
"USV","Union Square Ventures",6.4,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Sofia Dolfe (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Chase Coleman (Tiger Global)","Tiger Global",6.4,strong,VC,80000000000,0,0,"Consumer; Fintech; SaaS","US; Global"
"Zachary Bogue (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Dave Strohm (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Cici Tong (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Jahanvi Sardana (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Chris Dixon Founder (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Isaiah Baril-Dore (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Michelle WagnerOperating (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Katharina Wilhelm (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Jeff Immelt (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Susana Rojas (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Sandy Taylor (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Jason Rosenthal Operating (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Kleiner Perkins","Kleiner Perkins",6.3,strong,Angel,4000000000,0,0,"AI/ML; SaaS","US"
"Sorenson Capital","Sorenson Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Healthcare","United States"
"Starwood Capital Group","Starwood Capital",6.3,strong,VC,,0,0,"Hospitality; Proptech; Real Estate","United States; Global"
"Fonds Souverain de Djibouti","FSD",6.3,strong,VC,,0,0,"Infrastructure; Logistics; Real Estate","Djibouti; Africa"
"Balance Point Capital Partners","Balance Point Capital",6.3,strong,VC,,0,0,"Enterprise Software; SaaS; Technology Services","United States"
"Ann Miura-Ko","Floodgate",6.3,strong,VC,,0,0,"Consumer; Enterprise; Marketplaces","United States"
"Quiet Capital","Quiet Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"John Collison","John Collison Personal",6.3,strong,VC,,0,0,"Developer Tools; Fintech; Infrastructure","United States; Ireland; Europe"
"Accel-KKR","Accel-KKR",6.3,strong,VC,,0,0,"Enterprise Software; SaaS; Technology Services","United States; Europe"
"GoAhead Ventures","GoAhead Ventures",6.3,strong,VC,,0,0,"AI/ML; Enterprise Software; Healthcare","United States"
"Team Ignite Ventures","Team Ignite Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Paul Buchheit","Y Combinator",6.3,strong,VC,,0,0,"AI/ML; Consumer; Enterprise","United States"
"Youcef Oudjidane","Class 5 Global",6.3,strong,VC,,0,0,"Consumer; Fintech","US"
"Goldcrest Capital","Goldcrest Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Moxxie Ventures","Moxxie Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Pejman Nozad","Pear VC",6.3,strong,VC,,0,0,"AI/ML; Consumer; Enterprise","United States"
"Sante Ventures","Sante Ventures",6.3,strong,VC,,0,0,"Digital Health; Healthcare; Medical Devices","United States"
"Greylock Ventures","Greylock Partners",6.3,strong,VC Firm,5000000000,0,0,"AI/ML; Artificial Intelligence; Consumer; Cybersecurity; Enterprise; Fintech & Crypto; Infrastructure; Marketplaces & Commerce; SaaS","US"
"Jake Gibson","Better Tomorrow Ventures",6.3,strong,VC,,0,0,"Consumer Finance; Fintech; Insurance","United States"
"Benchmark","Benchmark",6.3,strong,Angel,3000000000,0,0,"Consumer; Enterprise; SaaS; Technology","US"
"Saga Ventures","Saga Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Satya Patel","Homebrew",6.3,strong,VC,,0,0,"Developer Tools; Enterprise; SaaS","United States"
"Aileen Lee","Cowboy Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"SineWave Ventures","SineWave Ventures",6.3,strong,VC,,0,0,"AI/ML; Enterprise Software; SaaS","United States"
"Charles Hudson","Precursor Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Marketplaces","United States"
"First Spark Ventures","First Spark Ventures",6.3,strong,VC,,0,0,"Developer Tools; Enterprise Software; SaaS","United States"
"Mana Ventures","Mana Ventures",6.3,strong,VC,,0,0,"Developer Tools; Enterprise Software; SaaS","United States"
"Semil Shah","Haystack",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Eric Bahn","Hustle Fund",6.3,strong,VC,,0,0,"Consumer; EdTech; Enterprise","United States; Global"
"Jason Lemkin","SaaStr Fund",6.3,strong,VC,,0,0,"Developer Tools; Enterprise; SaaS","United States"
"Jenny Lefcourt","Freestyle Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Marketplaces","United States"
"Forgepoint Capital","Forgepoint Capital",6.3,strong,VC,,0,0,"Cybersecurity; Enterprise Software; Security","United States; Israel"
"Flex Capital","Flex Capital",6.3,strong,VC,,0,0,"Enterprise Software; SaaS","United States; Europe"
"Candy Ventures","Candy Ventures",6.3,strong,VC Firm,,75,0,"Entertainment; Gaming; Technology","US"
"Coinvest Capital","",6.3,strong,VC,75000000,40,4,"Technology (General); SaaS; Fintech","Europe"
"359 Capital","359 Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Michael Arrington","Arrington XRP Capital",6.3,strong,VC,,0,0,"Crypto/Web3; Media; Technology","United States; Global"
"Mango Capital","Mango Capital",6.3,strong,VC,,0,0,"AI/ML; Enterprise Software; SaaS","United States"
"Julie Lein","Urban Innovation Fund",6.3,strong,VC Firm,,50,0,"AI/ML; API; PropTech","US"
"Founders Capital","",6.3,strong,VC,35000000,30,3,"SaaS; Fintech; Marketplaces","US"
"Safar Partners","Safar Partners",6.3,strong,VC,,0,0,"Enterprise Software; Infrastructure; SaaS","United States"
"Brian Halligan","Brian Halligan Personal",6.3,strong,VC,,0,0,"Marketing Tech; SaaS; Sales Tech","United States"
"Elizabeth Yin","Hustle Fund",6.3,strong,VC,,0,0,"Consumer; Enterprise; SaaS","United States; Global"
"PeakSpan Capital","PeakSpan Capital",6.3,strong,VC,,0,0,"Enterprise Software; SaaS; Vertical Software","United States"
"MC Hammer","MC Hammer",6.3,strong,VC,,0,0,"Consumer; Enterprise; Entertainment","United States"
"REMUS Capital","REMUS Capital",6.3,strong,VC,,0,0,"Developer Tools; Enterprise Software; SaaS","United States"
"Legendary Ventures","Legendary Ventures",6.3,strong,VC,,0,0,"AI/ML; Enterprise Software; SaaS","United States"
"Ten Eleven Ventures","",6.3,strong,VC,600000000,40,0,"Cybersecurity","Global"
"U First Capital","U First Capital",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"DeepWork Capital","DeepWork Capital",6.3,strong,VC,,0,0,"Enterprise; Fintech; Healthcare","United States"
"s16vc","",6.3,strong,VC,20000000,20,1,"Software; AI; Fintech","US"
"Framework Ventures","Framework Ventures",6.3,strong,VC,,0,0,"Blockchain Infrastructure; Crypto/Web3; DeFi","United States; Global"
"Velvet Sea Ventures","Velvet Sea Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Operator Collective","Operator Collective",6.3,strong,VC,,0,0,"Developer Tools; Enterprise Software; SaaS","United States"
"Ironspring Ventures","Ironspring Ventures",6.3,strong,VC,,0,0,"Developer Tools; Enterprise Software; SaaS","United States"
"z21 Ventures","z21 Ventures",6.3,strong,VC,,0,0,"Consumer; Enterprise; Fintech","United States"
"Portland Seed Fund","Portland Seed Fund",6.3,strong,VC,,0,0,"Consumer; Enterprise; Healthcare","United States"
"Brian Nguyen","Brian Nguyen",6.2,strong,Angel,,0,0,"AI/ML; SaaS","US"
"Bill Elfers Emeritus (Greylock)","Greylock Partners",6.1,strong,VC Firm,5000000000,0,0,"AI/ML; Consumer; Enterprise; SaaS","US"
"Kate Feld (Lowercarbon Capital)","Lowercarbon Capital",6.1,strong,VC Firm,2000000000,0,0,"AI/ML; SaaS","US"
"Endurance Investments","Endurance Investments",6.1,strong,Angel,,0,0,"Focus is on Latin American B2B solutions with early stage startups","US"
"Notation Capital","Notation Capital",6.1,strong,VC Firm,,150,0,"AI/ML; Consumer Internet; Fintech; SaaS","US"
"Isaac Kim (Lightspeed)","Lightspeed Venture Partners",6.1,strong,VC Firm,18000000000,0,0,"Consumer; Enterprise; Fintech","US; Global"
"Robert Lindsey (Initialized)","Initialized Capital",6.1,strong,VC Firm,700000000,0,0,"Consumer; Developer Tools; SaaS","US"
"Arc Ventures","Arc Ventures",6.1,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Holly Maloney (General Catalyst)","General Catalyst",6.1,strong,VC,25000000000,0,0,"Consumer; Fintech; Healthcare; SaaS","US; Global"
"Michelle Wagner (Playground)","Playground Global",6.1,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Jonathan Strauss Operating (Lowercarboncapital)","Lowercarbon Capital",6.1,strong,VC Firm,2000000000,0,0,"AI/ML; Climate; DeepTech; Energy; SaaS","US"
"Tiffany Foo (Initialized)","Initialized Capital",6.1,strong,VC Firm,700000000,0,0,"AI/ML; Consumer; Developer Tools; SaaS","US"
"Sacca Chris Sacca (Lowercarboncapital)","Lowercarbon Capital",6.1,strong,VC Firm,2000000000,0,0,"AI/ML; Climate; DeepTech; Energy; SaaS","US"
"WiHarper Group","WiHarper Group",6.1,strong,Angel,,0,0,"Enterprise Software; Hardware; Industry/Sector Agnostic","US"
"Hui Cheng (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Strategy Blake Wu (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Aya Somai (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Mubadala Capital - Ventures","Mubadala Capital - Ventures",6.1,strong,VC Firm,,150,0,"AI/ML; Consumer; Fintech; Healthtech; SaaS","US"
"Partner Luke Pappas (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Amish Desai (Lightspeed)","Lightspeed Venture Partners",6.1,strong,VC Firm,18000000000,0,0,"Consumer; Enterprise; Fintech","US; Global"
"Garrett Haddad (Playground)","Playground Global",6.1,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Mark HawkinsVenture (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Andrew Schoen (Nea)","New Enterprise Associates",6.1,strong,VC,25000000000,0,0,"Consumer; Enterprise; Fintech; Healthcare; HealthTech; SaaS","US; Global"
